Date,Close,High,Low,Open,Volume,Ticker
,SETFNIFBK.NS,SETFNIFBK.NS,SETFNIFBK.NS,SETFNIFBK.NS,SETFNIFBK.NS,
2024-01-01,488.1199951171875,493.1000061035156,481.79998779296875,490.0,44297,SETFNIFBK
2024-01-02,482.57000732421875,489.989990234375,481.45001220703125,489.989990234375,81485,SETFNIFBK
2024-01-03,482.9800109863281,485.0,480.5,485.0,1834180,SETFNIFBK
2024-01-04,487.0199890136719,488.0,483.0199890136719,483.6000061035156,16929,SETFNIFBK
2024-01-05,486.70001220703125,493.29998779296875,482.6000061035156,493.29998779296875,10068,SETFNIFBK
2024-01-08,480.010009765625,489.989990234375,479.4800109863281,489.989990234375,22673,SETFNIFBK
2024-01-09,477.9100036621094,484.45001220703125,477.0,482.4100036621094,24107,SETFNIFBK
2024-01-10,479.4800109863281,479.8299865722656,476.0,478.8999938964844,11277,SETFNIFBK
2024-01-11,479.2900085449219,483.0,477.20001220703125,480.0,67101,SETFNIFBK
2024-01-12,481.739990234375,484.0,478.69000244140625,482.989990234375,35940,SETFNIFBK
2024-01-15,486.19000244140625,487.0,482.9100036621094,483.989990234375,12831,SETFNIFBK
2024-01-16,485.6400146484375,487.5899963378906,484.6000061035156,486.17999267578125,23163,SETFNIFBK
2024-01-17,466.44000244140625,485.0,465.54998779296875,485.0,418564,SETFNIFBK
2024-01-18,462.6199951171875,485.20001220703125,460.010009765625,471.1000061035156,108206,SETFNIFBK
2024-01-19,462.25,467.989990234375,461.25,464.0,108400,SETFNIFBK
2024-01-23,455.19000244140625,472.2900085449219,454.0,467.1099853515625,213011,SETFNIFBK
2024-01-24,456.5199890136719,460.0,451.1600036621094,455.0,194662,SETFNIFBK
2024-01-25,452.8500061035156,459.4599914550781,449.54998779296875,456.6099853515625,175867,SETFNIFBK
2024-01-29,460.2699890136719,461.489990234375,454.0199890136719,459.1000061035156,122495,SETFNIFBK
2024-01-30,458.6600036621094,461.7200012207031,457.1000061035156,461.3399963378906,34159,SETFNIFBK
2024-01-31,464.8999938964844,466.45001220703125,456.29998779296875,462.989990234375,24837,SETFNIFBK
2024-02-01,466.20001220703125,467.25,462.0199890136719,464.8900146484375,112586,SETFNIFBK
2024-02-02,464.25,473.010009765625,463.6300048828125,469.0,57415,SETFNIFBK
2024-02-05,462.739990234375,468.0899963378906,461.1300048828125,464.260009765625,24788,SETFNIFBK
2024-02-06,462.2200012207031,463.989990234375,460.9100036621094,463.989990234375,550314,SETFNIFBK
2024-02-07,463.1499938964844,466.1400146484375,461.5299987792969,463.9599914550781,31294,SETFNIFBK
2024-02-08,455.6199951171875,468.5,454.4800109863281,463.1499938964844,116395,SETFNIFBK
2024-02-09,461.54998779296875,462.25,454.3299865722656,459.5,183207,SETFNIFBK
2024-02-12,454.2099914550781,466.989990234375,451.8999938964844,455.1400146484375,52373,SETFNIFBK
2024-02-13,459.4700012207031,462.29998779296875,453.5299987792969,454.20001220703125,542179,SETFNIFBK
2024-02-14,464.70001220703125,467.239990234375,452.0,452.0,648630,SETFNIFBK
2024-02-15,466.5199890136719,468.989990234375,460.5,464.0,154044,SETFNIFBK
2024-02-16,468.4800109863281,472.0,464.6099853515625,465.989990234375,227324,SETFNIFBK
2024-02-19,469.6300048828125,473.0,467.510009765625,471.989990234375,36383,SETFNIFBK
2024-02-20,475.0899963378906,475.7200012207031,468.20001220703125,472.42999267578125,237716,SETFNIFBK
2024-02-21,474.3599853515625,478.20001220703125,473.29998779296875,478.19000244140625,119486,SETFNIFBK
2024-02-22,473.42999267578125,474.3699951171875,469.0,474.0,231766,SETFNIFBK
2024-02-23,472.3399963378906,476.5899963378906,471.5799865722656,474.0,23622,SETFNIFBK
2024-02-26,469.7900085449219,473.3800048828125,469.4100036621094,472.3299865722656,127541,SETFNIFBK
2024-02-27,470.1000061035156,471.2900085449219,467.6700134277344,469.8299865722656,14201,SETFNIFBK
2024-02-28,464.19000244140625,471.8800048828125,463.17999267578125,470.55999755859375,32562,SETFNIFBK
2024-02-29,467.25,468.6099853515625,461.30999755859375,463.510009765625,33597,SETFNIFBK
2024-03-01,476.8999938964844,477.70001220703125,469.3999938964844,475.3999938964844,102570,SETFNIFBK
2024-03-04,479.2799987792969,480.0,476.2099914550781,478.4100036621094,146234,SETFNIFBK
2024-03-05,480.4599914550781,481.79998779296875,477.05999755859375,480.2900085449219,51849,SETFNIFBK
2024-03-06,484.8900146484375,485.9200134277344,478.9700012207031,479.6700134277344,145614,SETFNIFBK
2024-03-07,482.7900085449219,486.0,482.5,486.0,35841,SETFNIFBK
2024-03-11,478.6199951171875,483.989990234375,477.8599853515625,480.010009765625,140877,SETFNIFBK
2024-03-12,477.7300109863281,483.4200134277344,474.5199890136719,478.6199951171875,610956,SETFNIFBK
2024-03-13,473.67999267578125,479.989990234375,472.95001220703125,479.989990234375,666280,SETFNIFBK
2024-03-14,472.07000732421875,487.8999938964844,470.0,487.8999938964844,635278,SETFNIFBK
2024-03-15,469.9100036621094,473.69000244140625,467.9100036621094,472.07000732421875,630981,SETFNIFBK
2024-03-18,470.2900085449219,472.9700012207031,465.6499938964844,472.9700012207031,619388,SETFNIFBK
2024-03-19,467.8900146484375,470.20001220703125,466.79998779296875,469.2699890136719,840546,SETFNIFBK
2024-03-20,467.1600036621094,470.5799865722656,463.70001220703125,469.5199890136719,619606,SETFNIFBK
2024-03-21,471.3900146484375,474.0,470.4700012207031,470.989990234375,650150,SETFNIFBK
2024-03-22,472.6600036621094,473.7699890136719,469.8699951171875,471.0,607233,SETFNIFBK
2024-03-26,470.3999938964844,472.3500061035156,470.1099853515625,471.3399963378906,629154,SETFNIFBK
2024-03-27,473.17999267578125,474.29998779296875,471.57000732421875,472.1300048828125,163642,SETFNIFBK
2024-03-28,476.54998779296875,478.32000732421875,474.2300109863281,474.2300109863281,53493,SETFNIFBK
2024-04-01,480.8900146484375,481.7799987792969,476.54998779296875,476.55999755859375,109530,SETFNIFBK
2024-04-02,479.94000244140625,482.1099853515625,479.1600036621094,480.6400146484375,412074,SETFNIFBK
2024-04-03,480.80999755859375,481.4700012207031,477.45001220703125,478.0299987792969,16919,SETFNIFBK
