"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME (shares)","VALUE (₹ Crores)","52W H","52W L","30 D %CHNG","365 D %CHNG","18-Apr-2024"
"NIFTY 500","21,379.35","21,704.10","21,296.35","21,404.35","21,681.55","-","277.20","1.30","2,45,29,11,873","90,148.46","24,573.40","19,519.85","3.92","6.68"
"FACT","667.00","767.50","662.35","668.45","756.60","-","88.15","13.19","1,72,51,121","1,288.59","1,187.00","565.00","18.36","16.57"
"EMCURE","1,011.00","1,109.10","1,008.50","1,008.30","1,102.90","-","94.60","9.38","5,29,139","56.90","1,580.00","889.00","17.81","-"
"DELHIVERY","263.00","282.80","262.20","263.05","280.50","-","17.45","6.63","1,70,63,440","474.52","469.50","236.53","7.70","-37.76"
"VIJAYA","992.00","1,053.60","975.00","991.90","1,045.40","-","53.50","5.39","15,29,936","158.82","1,275.00","652.45","-7.06","53.87"
"FIVESTAR","750.40","796.00","746.55","750.40","789.80","-","39.40","5.25","14,13,348","108.27","943.75","595.00","13.90","14.03"
"IGIL","336.20","353.30","332.05","336.50","353.30","-","16.80","4.99","33,73,358","117.76","642.30","282.00","7.78","-"
"JSWHL","25,200.00","26,420.00","25,180.00","25,165.00","26,420.00","-","1,255.00","4.99","2,633","6.88","26,984.95","6,015.00","-","-"
"KFINTECH","1,071.30","1,146.40","1,066.50","1,052.40","1,103.00","-","50.60","4.81","72,09,839","810.72","1,641.35","592.00","13.40","76.66"
"FIRSTCRY","336.00","356.00","332.15","334.60","350.50","-","15.90","4.75","20,74,244","71.29","734.00","286.05","-7.52","-"
"ETERNAL","220.60","236.14","220.38","222.08","232.00","-","9.92","4.47","7,01,25,937","1,614.23","304.70","146.30","-","-"
"BHARTIHEXA","1,513.80","1,642.80","1,497.60","1,513.80","1,580.00","-","66.20","4.37","21,34,560","340.60","1,642.80","814.00","19.71","63.35"
"HSCL","444.40","468.50","443.10","443.85","463.00","-","19.15","4.31","19,36,237","88.84","688.70","303.00","7.40","43.87"
"RCF","133.92","143.70","132.70","133.58","139.10","-","5.52","4.13","1,50,32,263","212.02","245.00","110.80","13.43","0.07"
"CHOLAHLDNG","1,800.00","1,888.90","1,793.00","1,804.30","1,878.00","-","73.70","4.08","4,47,893","82.78","2,154.95","1,033.65","14.29","76.31"
"SAMMAANCAP","115.60","122.78","115.28","115.58","120.20","-","4.62","4.00","1,32,95,635","160.07","183.30","97.61","6.58","-"
"ROUTE","976.50","1,030.00","976.40","981.80","1,020.65","-","38.85","3.96","2,29,279","23.27","1,942.45","861.90","6.08","-33.49"
"WAAREEENER","2,279.00","2,377.10","2,275.00","2,229.60","2,317.00","-","87.40","3.92","26,72,712","623.21","3,743.00","1,863.00","3.01","-"
