"SYMBOL","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE (₹ Crores)","NAV","52W H","52W L","30D %CHNG","365 D","365 D % CHNG","30 D"
"CPSEETF","CPSE ETF","88.26","88.65","87.19","87.85","88.50","-","0.65","0.74","29,45,814","25.97","87.98","106.60","74.90",6.86,"16-Apr-2024","4.70","18-Mar-2025"
"EMULTIMQ","Nifty500 Multicap Momentum Quality 50 Total Return Index","38.39","38.39","37.35","37.62","37.90","-","0.28","0.74","1,07,686","0.41","37.62","53.90","34.71",1.33,"-","-","18-Mar-2025"
"ALPL30IETF","Nifty Alpha Low-Volatility 30 Index","25.97","26.29","25.91","26.00","26.19","-","0.19","0.73","19,71,574","5.16","26.00","32.67","24.00",4.21,"16-Apr-2024","-90.13","18-Mar-2025"
"AXISBPSETF","Nifty AAA Bond Plus SDL Apr 2026 50:50 Index","12.85","12.85","12.45","12.47","12.56","-","0.09","0.72","15,67,970","1.96","12.59","14.00","11.00",0.8,"16-Apr-2024","7.91","18-Mar-2025"
"NEXT50","Nifty Next 50","651.30","656.76","647.33","651.30","655.98","-","4.68","0.72","11,247","0.73","650.52","899.00","573.45",5.72,"16-Apr-2024","4.12","18-Mar-2025"
"GOLDETFADD","DSP Gold ETF","93.46","93.60","92.37","92.36","93.02","-","0.66","0.71","4,67,862","4.35","92.48","93.60","66.90",7.28,"16-Apr-2024","28.19","18-Mar-2025"
"ALPHAETF","Mirae Asset Nifty 200 Alpha 30 ETF","22.64","22.86","22.51","22.64","22.80","-","0.16","0.71","31,79,235","7.24","22.63","30.20","19.61",5.6,"16-Apr-2024","-3.06","18-Mar-2025"
"MOLOWVOL","Nifty Midcap 100 TRI","36.50","36.50","35.41","35.78","36.03","-","0.25","0.70","5,986","0.02","35.71","41.85","33.05",5.01,"16-Apr-2024","3.65","18-Mar-2025"
"MIDSMALL","Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF","43.70","44.74","43.70","44.37","44.67","-","0.30","0.68","2,17,531","0.97","44.33","57.00","40.00",5.53,"-","-","18-Mar-2025"
"MULTICAP","Nifty500 Multicap 50:25:25 Index","14.82","15.00","14.70","14.81","14.91","-","0.10","0.68","8,76,273","1.30","14.79","17.55","13.43",5.36,"-","-","18-Mar-2025"
"MON100","Nasdaq100","166.77","166.77","162.45","165.13","166.25","-","1.12","0.68","18,47,824","30.32","152.70","221.70","138.51",-6.56,"16-Apr-2024","13.61","18-Mar-2025"
"MOQUALITY","Motilal Oswal S&P BSE Quality ETF","176.18","177.51","175.00","175.82","177.00","-","1.18","0.67","980","0.02","176.15","222.70","162.15",3.8,"16-Apr-2024","0.28","18-Mar-2025"
"JUNIORBEES","Nifty Next 50","683.70","687.33","677.66","681.39","685.90","-","4.51","0.66","4,39,778","30.05","681.77","830.00","595.00",5.08,"16-Apr-2024","3.73","18-Mar-2025"
"MIDCAPIETF","Nifty Midcap 150","19.99","20.05","19.74","19.85","19.98","-","0.13","0.65","9,24,669","1.84","19.84","23.70","17.80",5.28,"16-Apr-2024","-89.33","18-Mar-2025"
"MOHEALTH","Motilal Oswal S&P BSE Healthcare ETF","42.29","42.29","41.15","41.78","42.05","-","0.27","0.65","27,352","0.11","41.71","46.97","34.00",2.99,"16-Apr-2024","19.44","18-Mar-2025"
"TNIDETF","Nifty India Digital Index","82.88","83.84","82.00","83.30","83.83","-","0.53","0.64","65,818","0.55","83.01","104.78","71.98",1.36,"16-Apr-2024","6.39","18-Mar-2025"
"FMCGIETF","Nifty FMCG Index","59.66","59.82","58.68","59.37","59.75","-","0.38","0.64","9,88,581","5.88","59.49","71.20","53.12",7.99,"16-Apr-2024","-89.22","18-Mar-2025"
"MID150","Nifty Midcap 150 Index","19.46","20.16","19.07","19.46","19.58","-","0.12","0.62","13,943","0.03","-","22.95","17.98","-","-","-","-"
"MAHKTECH","Hang Seng TECH Total Return Index","21.75","21.75","21.01","21.19","21.32","-","0.13","0.61","17,44,037","3.72","17.69","26.74","12.20",-17.21,"16-Apr-2024","72.97","18-Mar-2025"
"MIDCAPETF","Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF","19.64","19.77","19.50","19.64","19.76","-","0.12","0.61","59,09,936","11.62","19.59","23.20","16.00",5.9,"16-Apr-2024","6.93","18-Mar-2025"
"QUAL30IETF","ICICI Prudential Nifty 200 Quality 30 ETF","19.53","19.70","19.39","19.58","19.70","-","0.12","0.61","1,20,017","0.23","19.62","26.50","18.01",3.75,"16-Apr-2024","-89.50","18-Mar-2025"
"GOLDCASE","Zerodha Gold ETF","15.29","15.29","15.00","15.00","15.09","-","0.09","0.60","20,35,392","3.08","14.98","15.29","10.50",7.17,"16-Apr-2024","28.64","18-Mar-2025"
"UTISXN50","BSE Sensex Next 50","83.40","84.52","81.89","83.54","84.04","-","0.50","0.60","6,567","0.06","83.71","96.27","66.72",5.59,"16-Apr-2024","10.05","18-Mar-2025"
"HDFCNEXT50","HDFC NIFTY NEXT 50 ETF","64.72","65.24","64.15","64.72","65.11","-","0.39","0.60","68,158","0.44","64.56","88.00","57.00",5.15,"16-Apr-2024","3.89","18-Mar-2025"
"MOMENTUM50","Nifty 500 Momentum 50 Total Return Index","47.74","47.81","47.12","47.45","47.73","-","0.28","0.59","3,73,300","1.78","47.36","66.00","42.40",3.81,"-","-","18-Mar-2025"
"MOSMALL250","Motilal Oswal Nifty Smallcap 250 ETF","15.49","15.58","15.28","15.40","15.49","-","0.09","0.58","7,18,459","1.11","15.39","19.30","13.22",6.32,"16-Apr-2024","1.51","18-Mar-2025"
"ITIETF","Nifty IT Index","35.56","36.16","35.10","35.95","36.16","-","0.21","0.58","11,71,187","4.16","35.91","49.53","33.43",-8.59,"16-Apr-2024","1.46","18-Mar-2025"
"HDFCMID150","HDFC NIFTY Midcap 150 ETF","19.44","19.70","19.22","19.44","19.55","-","0.11","0.57","5,28,541","1.03","19.45","23.65","17.51",5.17,"16-Apr-2024","6.49","18-Mar-2025"
"MNC","Kotak Nifty MNC ETF","26.84","27.18","26.75","26.83","26.98","-","0.15","0.56","1,34,043","0.36","26.91","33.48","24.52",2.27,"16-Apr-2024","1.57","18-Mar-2025"
"GSEC10ABSL","CRISIL 10 Year Gilt ETF","107.60","107.60","107.60","107.00","107.60","-","0.60","0.56","21","-","107.73","119.76","99.80",2.18,"-","-","12-Mar-2025"
"QGOLDHALF","Gold","79.99","79.99","78.81","78.75","79.18","-","0.43","0.55","62,011","0.49","78.65","79.99","57.60",7.17,"16-Apr-2024","28.47","18-Mar-2025"
"MOM100","Nifty Midcap 100","55.56","56.65","54.45","56.12","56.43","-","0.31","0.55","5,57,579","3.13","56.08","66.45","50.30",6.19,"16-Apr-2024","7.30","18-Mar-2025"
"SETFGOLD","Gold","83.33","83.33","81.55","81.46","81.90","-","0.44","0.54","32,38,471","26.54","81.31","83.33","58.65",7.27,"16-Apr-2024","28.58","18-Mar-2025"
"LICNFNHGP","Nifty 100","263.50","265.99","262.19","261.89","263.31","-","1.42","0.54","519","0.01","259.91","325.00","240.00",-1.81,"16-Apr-2024","8.04","18-Mar-2025"
"SBIETFQLTY","Nifty 200 Quality 30 Index","205.70","207.62","204.13","205.74","206.80","-","1.06","0.52","3,360","0.07","206.38","257.15","191.50",3.8,"16-Apr-2024","4.86","18-Mar-2025"
"ABSLPSE","Aditya Birla Sun Life Nifty PSE ETF","9.64","9.74","9.59","9.64","9.69","-","0.05","0.52","3,07,626","0.30","9.66","11.82","8.00",8.49,"-","-","18-Mar-2025"
"BBETF0432","Nifty BHARAT Bond Index - April 2032","1,256.01","1,262.29","1,256.01","1,255.90","1,262.29","-","6.39","0.51","6,714","0.84","1,257.27","1,285.00","1,130.00",2.43,"16-Apr-2024","10.53","18-Mar-2025"
"GOLDETF","Mirae Asset Gold ETF","92.82","93.89","92.81","92.71","93.16","-","0.45","0.49","3,37,612","3.15","92.59","93.89","67.25",7.25,"16-Apr-2024","28.63","18-Mar-2025"
"MOVALUE","Motilal Oswal S&P BSE Enhanced Value ETF","97.09","97.56","95.78","96.56","97.02","-","0.46","0.48","83,726","0.81","96.49","114.10","85.91",6.02,"16-Apr-2024","2.24","18-Mar-2025"
"MIDQ50ADD","Nifty Midcap 150 Quality 50 Index","224.54","226.82","222.90","224.53","225.60","-","1.07","0.48","17,632","0.40","224.86","269.48","204.61",3.71,"16-Apr-2024","7.23","18-Mar-2025"
"LOWVOLIETF","Nifty 100 Low Volatility 30 Index","20.80","20.89","20.42","20.63","20.73","-","0.10","0.48","5,10,710","1.06","20.59","24.40","18.50",4.51,"16-Apr-2024","8.42","18-Mar-2025"
"HDFCGOLD","Gold","82.37","82.50","81.61","81.61","81.99","-","0.38","0.47","27,74,574","22.76","81.38","82.65","59.57",7.42,"16-Apr-2024","28.56","18-Mar-2025"
"ITETF","Mirae Asset Nifty IT ETF","34.50","34.50","33.42","34.24","34.40","-","0.16","0.47","9,51,777","3.22","34.22","48.05","31.00",-9.06,"16-Apr-2024","1.03","18-Mar-2025"
"ABGSEC","Aditya Birla Sun Life CRISIL Broad Based Gilt ETF","108.69","109.46","108.69","108.49","108.99","-","0.50","0.46","162","-","108.93","120.00","99.66",2.23,"-","-","18-Mar-2025"
"IT","NIFTY IT Index","35.82","35.99","34.96","35.83","35.99","-","0.16","0.45","3,52,275","1.25","35.77","49.50","32.55",-9.01,"16-Apr-2024","0.76","18-Mar-2025"
"TATAGOLD","Tata Gold Exchange Traded Fund","9.55","9.55","9.30","9.29","9.33","-","0.04","0.43","1,66,58,961","15.61","9.25","10.48","6.30",7.24,"16-Apr-2024","28.69","18-Mar-2025"
"UNIONGOLD","Commodity Gold","97.00","99.55","93.00","93.95","94.35","-","0.40","0.43","380","-","93.59","99.55","82.00",7.58,"-","-","18-Mar-2025"
"LTGILTBEES","NIFTY 8-13 yr G-Sec Index","28.44","28.60","28.40","28.44","28.56","-","0.12","0.42","50,40,715","14.38","28.43","28.75","25.13",3.1,"16-Apr-2024","12.56","18-Mar-2025"
"NEXT30ADD","BSE SENSEX Next 30 Index","36.00","36.42","35.98","36.14","36.29","-","0.15","0.42","1,754","0.01","36.11","38.90","32.27",4.85,"-","-","18-Mar-2025"
"GOLDIETF","Gold","83.93","83.93","81.80","81.74","82.08","-","0.34","0.42","26,00,115","21.36","81.44","83.93","59.00",7.35,"16-Apr-2024","28.95","18-Mar-2025"
"EBBETF0433","BHARAT Bond ETF-April 2033","1,224.00","1,230.00","1,224.00","1,224.83","1,229.65","-","4.82","0.39","14,496","1.78","1,224.06","1,230.00","1,101.01",2.91,"16-Apr-2024","10.73","18-Mar-2025"
"HDFCSML250","HDFC NIFTY Smallcap 250 ETF","154.35","155.63","153.56","154.66","155.25","-","0.59","0.38","8,00,089","12.39","154.39","189.95","135.21",6.28,"16-Apr-2024","1.79","18-Mar-2025"
"GOLDBEES","Gold","80.25","80.28","79.31","79.23","79.52","-","0.29","0.37","2,23,15,842","177.75","78.95","80.28","57.85",7.28,"16-Apr-2024","28.50","18-Mar-2025"
"METAL","Nifty Metal Total Return Index","8.49","8.52","8.35","8.46","8.49","-","0.03","0.35","18,15,222","1.54","8.46","10.84","7.73",-6.4,"-","-","18-Mar-2025"
"GOLD1","Gold","79.71","80.64","79.71","79.61","79.89","-","0.28","0.35","14,40,879","11.54","79.46","80.64","58.25",7.07,"16-Apr-2024","28.46","18-Mar-2025"
"MID150BEES","Nifty Midcap 150 TRI","202.60","202.60","197.13","198.85","199.52","-","0.67","0.34","4,79,653","9.54","198.55","235.65","179.00",5.1,"16-Apr-2024","6.32","18-Mar-2025"
"SETF10GILT","Nifty 10 yr Benchmark G-Sec Index","253.54","254.99","253.51","253.50","254.35","-","0.85","0.34","44,436","1.13","253.90","267.00","225.70",2.64,"16-Apr-2024","12.00","18-Mar-2025"
"GSEC10IETF","ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF","253.00","255.42","253.00","254.59","255.42","-","0.83","0.33","1,015","0.03","253.64","255.42","222.95",2.87,"16-Apr-2024","12.46","18-Mar-2025"
"AXISHCETF","Nifty Healthcare Index","138.19","139.00","137.36","137.70","138.16","-","0.46","0.33","4,875","0.07","137.44","159.99","116.00",1.7,"16-Apr-2024","15.47","18-Mar-2025"
"ALPHA","NIFTY Alpha 50 Index","45.08","45.25","44.70","44.96","45.10","-","0.14","0.31","31,16,520","14.01","44.92","60.91","39.00",5.11,"16-Apr-2024","-3.37","18-Mar-2025"
"SMALLCAP","Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF","42.12","42.34","41.90","42.11","42.24","-","0.13","0.31","18,64,350","7.87","42.09","55.25","37.45",4.79,"16-Apr-2024","-7.26","18-Mar-2025"
"GOLDSHARE","Gold","80.60","81.05","80.10","80.05","80.30","-","0.25","0.31","4,46,123","3.59","80.66","81.05","58.55",7.35,"16-Apr-2024","29.49","18-Mar-2025"
"GILT5YBEES","Nifty 5 yr Benchmark G-Sec Index","61.30","61.55","61.15","61.29","61.47","-","0.18","0.29","2,07,384","1.27","61.27","71.00","54.25",2.6,"16-Apr-2024","11.18","18-Mar-2025"
"ITETFADD","DSP Nifty IT ETF","34.12","34.54","33.47","34.46","34.54","-","0.08","0.23","22,619","0.08","34.22","48.66","32.00",-8.91,"16-Apr-2024","1.30","18-Mar-2025"
"EGOLD","Edelweiss Gold ETF","96.05","96.60","95.65","95.55","95.75","-","0.20","0.21","14,093","0.14","95.43","96.60","69.70",7.3,"16-Apr-2024","29.37","18-Mar-2025"
"AXISGOLD","Gold","80.50","80.75","79.91","79.94","80.11","-","0.17","0.21","4,24,293","3.41","79.46","80.75","58.20",7.47,"16-Apr-2024","29.01","18-Mar-2025"
"GROWWGOLD","Commodity","94.97","95.06","93.85","93.67","93.85","-","0.18","0.19","2,19,428","2.07","93.47","95.06","73.00",7.35,"-","-","18-Mar-2025"
"LICNETFGSC","GSEC10 NSE Index","27.96","28.09","27.87","27.96","28.01","-","0.05","0.18","42,609","0.12","27.98","28.09","23.57",2.64,"16-Apr-2024","12.17","18-Mar-2025"
"MIDCAP","Nifty Midcap 50 Index","149.80","150.99","148.83","149.80","150.05","-","0.25","0.17","41,095","0.62","149.60","173.65","134.98",5.49,"16-Apr-2024","7.29","18-Mar-2025"
"HDFCNIFIT","HDFC NIFTY IT ETF","34.48","34.72","33.79","34.48","34.53","-","0.05","0.15","20,37,011","6.93","34.54","47.74","32.24",-8.84,"16-Apr-2024","1.26","18-Mar-2025"
"EBBETF0431","Nifty BHARAT Bond","1,335.00","1,339.00","1,333.79","1,335.51","1,336.99","-","1.48","0.11","10,494","1.40","1,335.63","1,360.00","1,207.10",2.73,"16-Apr-2024","10.45","18-Mar-2025"
"EBBETF0430","Nifty BHARAT Bond","1,535.35","1,535.35","1,490.64","1,490.63","1,492.08","-","1.45","0.10","65,378","9.77","1,492.31","1,535.35","1,311.45",2.42,"16-Apr-2024","10.08","18-Mar-2025"
"GROWWLIQID","Nifty 1D Rate Index","103.56","103.89","103.56","103.57","103.64","-","0.07","0.07","7,31,003","7.58","103.57","105.30","98.00",0.51,"-","-","18-Mar-2025"
"LIQUIDCASE","Zerodha Nifty 1D Rate Liquid ETF","108.16","108.16","108.14","108.08","108.16","-","0.08","0.07","93,03,901","100.61","108.08","111.30","98.60",0.54,"16-Apr-2024","6.35","18-Mar-2025"
"GSEC10YEAR","Mirae Asset Nifty 8-13 yr G-Sec ETF","28.84","28.97","28.81","28.82","28.84","-","0.02","0.07","17,218","0.05","28.80","31.00","23.69",2.71,"16-Apr-2024","12.44","18-Mar-2025"
"LIQUIDADD","DSP S&P BSE Liquid Rate ETF","1,067.67","1,068.32","1,067.67","1,067.67","1,068.31","-","0.64","0.06","6,90,319","73.75","1,067.67","1,219.70","949.27",0.52,"16-Apr-2024","6.32","18-Mar-2025"
"CASHIETF","BSE Liquid Rate Index","1,006.59","1,006.59","1,006.59","1,005.97","1,006.59","-","0.62","0.06","148","0.01","1,005.97","1,034.60","1,001.47","-","-","-","-"
"LIQUIDPLUS","Nifty 1D Rate Index","1,028.28","1,028.29","1,028.27","1,027.64","1,028.29","-","0.65","0.06","40,002","4.11","1,027.64","1,038.75","994.83",0.53,"-","-","18-Mar-2025"
"LIQUIDSHRI","SHRIRAM NIFTY 1D RATE LIQUID ETF","1,048.90","1,048.90","1,048.89","1,048.29","1,048.89","-","0.60","0.06","10,892","1.14","1,048.30","1,095.15","1,000.00",0.51,"-","-","18-Mar-2025"
"LIQUIDBETF","Bajaj Finserv Nifty 1D Rate Liquid ETF","1,026.51","1,026.55","1,026.51","1,025.90","1,026.54","-","0.64","0.06","2,94,351","30.22","1,025.89","1,200.19","810.00",0.53,"-","-","18-Mar-2025"
"AONELIQUID","Niftyﾠ1D Rate Index","1,004.31","1,004.33","1,004.31","1,003.72","1,004.31","-","0.59","0.06","565","0.06","1,003.72","1,004.33","1,000.00","-","-","-","-"
"LIQUID1","Kotak Nifty 1D Rate Liquid ETF","1,046.05","1,046.09","1,046.05","1,045.43","1,046.07","-","0.64","0.06","13,52,999","141.53","1,045.44","1,120.00","999.68",0.54,"16-Apr-2024","4.61","18-Mar-2025"
"HDFCLIQUID","HDFC Nifty 1D Rate Liquid ETF","1,007.59","1,007.63","1,007.59","1,007.04","1,007.63","-","0.59","0.06","19,075","1.92","-","1,030.00","975.00",0.5,"16-Apr-2024","0.76","18-Mar-2025"
"GROWWDEFNC","Nifty India Defence Index- Total Return Index","66.49","66.50","64.51","65.97","66.00","-","0.03","0.05","1,45,098","0.96","65.88","72.00","49.83",14.1,"-","-","18-Mar-2025"
"LIQUIDIETF","S&P BSE Liquid Rate Index","1,000.00","1,000.01","999.99","999.99","1,000.00","-","0.01","-","6,44,497","64.45","1,000.00","1,030.00","983.35",0,"16-Apr-2024","-","18-Mar-2025"
"LIQUIDBEES","Government Securities","1,000.00","1,000.46","999.99","1,000.00","1,000.00","-","-","-","40,90,040","409.00","1,000.00","1,030.00","970.00",0,"16-Apr-2024","-","18-Mar-2025"
"LIQUIDETF","Nifty1D rate index","999.99","1,000.01","999.99","999.99","1,000.00","-","0.01","-","1,68,163","16.82","1,000.00","1,020.00","980.55",0,"16-Apr-2024","-","18-Mar-2025"
"LIQUIDSBI","SBI NIFTY 1D Rate ETF","1,000.00","1,000.01","1,000.00","1,000.00","1,000.01","-","0.01","-","5,402","0.54","1,000.00","1,000.01","990.15",0,"16-Apr-2024","-","18-Mar-2025"
"ABSLLIQUID","Aditya Birla Sun Life CRISIL Overnight Fund AI ETF","1,000.00","1,000.01","999.99","1,000.00","1,000.01","-","0.01","-","3,753","0.38","1,000.00","1,030.00","990.00",0,"16-Apr-2024","-","18-Mar-2025"
"LIQUID","Mirae Asset Nifty 1D Rate Liquid ETF","999.00","1,000.00","999.00","999.99","999.99","-","-","-","2,83,287","28.33","1,000.00","1,030.00","990.00",0,"16-Apr-2024","-","18-Mar-2025"
"SBIETFIT","Nifty IT Index","359.96","361.38","350.58","358.85","358.81","-","-0.04","-0.01","21,270","0.76","358.87","510.00","335.00",-9.15,"16-Apr-2024","0.61","18-Mar-2025"
"SDL26BEES","Nifty SDL Apr 2026 Top 20 Equal Weight Index","129.99","129.99","129.05","129.84","129.80","-","-0.04","-0.03","717","0.01","129.84","130.20","119.20",0.96,"16-Apr-2024","8.15","18-Mar-2025"
"MODEFENCE","Nifty India Defence Total Return Index","72.01","73.00","72.01","72.44","72.41","-","-0.03","-0.04","15,18,033","11.00","72.32","80.00","55.21",14.18,"-","-","18-Mar-2025"
"MASPTOP50","S&P 500 Top 50 Total Return Index","47.19","47.73","46.46","47.26","47.20","-","-0.06","-0.13","4,00,052","1.88","41.54","64.95","36.48",-4.18,"16-Apr-2024","7.14","18-Mar-2025"
"IVZINGOLD","Gold","8,368.65","8,410.45","8,310.00","8,327.00","8,310.00","-","-17.00","-0.20","600","0.50","8,312.65","8,410.45","6,060.25",7.23,"16-Apr-2024","27.31","18-Mar-2025"
"AXISTECETF","NIFTY IT Index","353.01","358.00","348.63","357.25","356.43","-","-0.82","-0.23","4,490","0.16","356.58","498.96","333.05",-9.06,"16-Apr-2024","0.38","18-Mar-2025"
"NIF10GETF","UTI Nifty 10 yr Benchmark G-Sec ETF","25.73","25.74","25.55","25.62","25.55","-","-0.07","-0.27","73,621","0.19","25.61","27.25","22.10",3.17,"16-Apr-2024","11.92","18-Mar-2025"
"TECH","Nifty IT TRI Index","36.25","36.25","34.38","35.27","35.10","-","-0.17","-0.48","48,372","0.17","35.10","49.77","33.20",-8.78,"16-Apr-2024","1.09","18-Mar-2025"
"HNGSNGBEES","Hang Seng Index","381.26","385.70","376.90","380.43","377.94","-","-2.49","-0.65","2,25,512","8.57","333.30","448.90","205.00",-14.6,"16-Apr-2024","47.66","18-Mar-2025"
"MOGSEC","Nifty 5 yr Benchmark G-Sec Index","61.49","61.80","60.29","61.39","60.80","-","-0.59","-0.96","11,130","0.07","60.72","62.32","53.40",1.99,"16-Apr-2024","11.23","18-Mar-2025"
"MONQ50","Nasdaq Q-50 Total Return Index","67.94","70.10","67.59","68.63","67.93","-","-0.70","-1.02","7,51,515","5.13","62.38","93.32","57.51",-10.14,"16-Apr-2024","11.15","18-Mar-2025"
"MAFANG","NYSE FANG+ Total Return Index","117.30","117.30","114.50","117.00","115.70","-","-1.30","-1.11","8,30,608","9.63","94.78","153.48","89.25",-0.5,"16-Apr-2024","21.61","18-Mar-2025"
"TATSILV","Tata Silver Exchange Traded Fund","9.50","9.50","9.33","9.50","9.36","-","-0.14","-1.47","33,06,098","3.11","9.45","10.32","7.00",-5.07,"16-Apr-2024","12.91","18-Mar-2025"
"SILVERCASE","Commodity-Silver","10.07","10.37","9.78","9.95","9.79","-","-0.16","-1.61","2,96,458","0.29","14.98","10.99","9.00","-","-","-","-"
"SILVRETF","Mirae Asset Silver ETF","95.45","95.45","92.19","95.44","93.85","-","-1.59","-1.67","85,365","0.80","95.19","100.47","78.40",-5.13,"16-Apr-2024","12.59","18-Mar-2025"
"SILVER1","Kotak Silver ETF","94.99","94.99","93.26","94.99","93.39","-","-1.60","-1.68","3,17,535","2.97","94.75","111.00","77.90",-5.21,"16-Apr-2024","13.51","18-Mar-2025"
"SILVERADD","DSP Silver ETF","94.23","94.78","92.56","94.50","92.90","-","-1.60","-1.69","92,385","0.87","94.06","98.69","77.20",-5.16,"16-Apr-2024","13.09","18-Mar-2025"
"HDFCSILVER","HDFC Silver ETF","96.80","96.80","92.26","94.00","92.40","-","-1.60","-1.70","6,55,761","6.07","93.77","100.35","77.43",-5.31,"16-Apr-2024","13.44","18-Mar-2025"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","92.99","93.07","91.97","93.80","92.20","-","-1.60","-1.71","84,22,078","77.88","93.65","100.00","76.70",-5.4,"16-Apr-2024","12.62","18-Mar-2025"
"AXISILVER","Axis Silver ETF","97.60","97.60","94.52","97.60","95.90","-","-1.70","-1.74","52,498","0.50","97.18","103.83","80.00",-5.06,"16-Apr-2024","13.66","18-Mar-2025"
"ESILVER","Edelweiss Silver ETF","97.88","97.88","96.20","98.15","96.35","-","-1.80","-1.83","1,62,169","1.57","97.81","102.99","75.97",-5.2,"16-Apr-2024","13.19","18-Mar-2025"
"SBISILVER","SBI SILVER ETF","98.00","98.00","94.34","96.12","94.36","-","-1.76","-1.83","2,39,092","2.27","95.83","103.05","79.07",-4.78,"-","-","18-Mar-2025"
"SILVER","Physical price of Silver","97.80","97.80","95.81","97.80","96.00","-","-1.80","-1.84","4,43,128","4.27","97.38","104.55","80.00",-5.07,"16-Apr-2024","13.36","18-Mar-2025"
"SILVERIETF","Domestic Price of Silver","99.00","99.00","95.60","97.82","95.85","-","-1.97","-2.01","12,94,994","12.46","97.30","101.85","80.01",-5.32,"16-Apr-2024","12.60","18-Mar-2025"
"SILVERETF","UTI Silver Exchange Traded Fund (UTI Silver ETF)","94.79","95.00","93.00","95.04","93.10","-","-1.94","-2.04","3,90,469","3.66","95.18","100.00","79.50",-5.39,"16-Apr-2024","11.20","18-Mar-2025"
