"SYMBOL","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE (₹ Crores)","NAV","52W H","52W L","30D %CHNG","365 D","365 D % CHNG","30 D"
"SENSEXIETF","SENSEX","869.20","889.72","865.02","869.20","886.10","-","16.90","1.94","17,678","1.55","870.25","980.00","720.00",4.56,"16-Apr-2024","8.91","18-Mar-2025"
"SENSEXADD","DSP S&P BSE Sensex ETF","78.17","79.75","77.81","77.84","79.35","-","1.51","1.94","3,343","0.03","78.07","95.00","70.00",4.73,"16-Apr-2024","8.59","18-Mar-2025"
"TOP100CASE","Zerodha Nifty 100 ETF","9.99","10.09","9.89","9.90","10.09","-","0.19","1.92","10,67,063","1.07","9.93","12.00","8.01",4.46,"-","-","18-Mar-2025"
"SENSEXETF","Mirae Asset S&P BSE Sensex ETF","77.89","79.75","77.71","78.09","79.58","-","1.49","1.91","39,856","0.31","78.14","100.00","72.00",4.53,"16-Apr-2024","8.21","18-Mar-2025"
"MOM50","Nifty 50","240.76","245.45","240.74","240.74","245.25","-","4.51","1.87","8,760","0.21","241.10","281.00","218.00",4.15,"16-Apr-2024","8.79","18-Mar-2025"
"UTINIFTETF","Nifty 50","254.67","260.05","253.44","255.14","259.90","-","4.76","1.87","54,797","1.42","255.26","285.31","234.73",4.51,"16-Apr-2024","8.59","18-Mar-2025"
"SETFNIFBK","Nifty Bank","539.01","552.67","535.96","540.96","551.00","-","10.04","1.86","6,34,349","34.96","540.25","554.30","469.99",10.04,"16-Apr-2024","14.86","18-Mar-2025"
"BANKPSU","Nifty PSU Bank Total Return Index","63.98","65.24","63.98","63.82","65.00","-","1.18","1.85","17,560","0.11","64.09","74.11","55.29",10.54,"-","-","18-Mar-2025"
"BSLSENETFG","BSE SENSEX Index","76.16","78.00","75.88","76.15","77.54","-","1.39","1.83","5,486","0.04","76.29","87.70","61.47",4.68,"16-Apr-2024","9.10","18-Mar-2025"
"QNIFTY","Nifty 50","2,538.00","2,586.00","2,532.00","2,539.96","2,586.00","-","46.04","1.81","763","0.20","2,536.58","2,884.51","2,336.25",4.49,"16-Apr-2024","8.86","18-Mar-2025"
"PSUBNKIETF","ICICI Prudential Nifty PSU Bank ETF","64.53","65.79","64.50","64.53","65.70","-","1.17","1.81","2,49,133","1.63","64.64","86.70","55.80",10.39,"16-Apr-2024","-6.48","18-Mar-2025"
"NIFTYIETF","Nifty 50","260.59","265.88","259.28","260.53","265.25","-","4.72","1.81","4,61,284","12.12","260.96","295.30","234.97",4.23,"16-Apr-2024","8.82","18-Mar-2025"
"SETFNIF50","Nifty 50","247.98","252.19","246.39","247.69","252.12","-","4.43","1.79","10,95,110","27.51","247.95","277.25","227.33",4.19,"16-Apr-2024","8.63","18-Mar-2025"
"BBNPNBETF","Baroda BNP Paribas NIFTY Bank ETF","53.25","54.36","53.15","53.04","53.99","-","0.95","1.79","2,30,838","1.24","53.03","56.15","47.43",9.88,"-","-","18-Mar-2025"
"HDFCSENSEX","SENSEX","85.94","87.95","85.37","85.92","87.44","-","1.52","1.77","55,563","0.48","85.88","100.00","79.10",4.22,"16-Apr-2024","8.61","18-Mar-2025"
"HDFCVALUE","HDFC NIFTY50 Value 20 ETF","126.61","128.86","125.81","126.62","128.86","-","2.24","1.77","23,165","0.29","126.81","155.70","117.50",0.06,"16-Apr-2024","4.24","18-Mar-2025"
"TOP10ADD","Nifty Top 10 Equal Weight Index","92.47","94.18","91.82","92.48","94.08","-","1.60","1.73","1,44,280","1.35","92.38","119.70","86.50",3.82,"-","-","18-Mar-2025"
